,Year,State,Pounds,Metric Tons,Dollars,Collection
0,2011,MAINE,2407074.0,1092.0,5113355.0,Commercial
1,2011,HAWAII,2.0,0.0,18.0,Commercial
2,2011,OREGON,588193.0,267.0,313488.0,Commercial
3,2011,CALIFORNIA,11573153.0,5250.0,8205881.0,Commercial
4,2011,WASHINGTON,192684.0,87.0,171004.0,Commercial
5,2011,FLORIDA-EAST,5247.0,2.0,4116.0,Commercial
6,2011,FLORIDA-WEST,43541.0,20.0,105971.0,Commercial
7,2011,MASSACHUSETTS,40709.0,18.0,58208.0,Commercial
8,2011,NORTH CAROLINA,,,,Commercial
9,2012,MAINE,1903781.0,864.0,5024133.0,Commercial
10,2012,HAWAII,4.0,0.0,50.0,Commercial
11,2012,OREGON,,,,Commercial
12,2012,CALIFORNIA,12124308.0,5500.0,9007984.0,Commercial
13,2012,WASHINGTON,412484.0,187.0,325310.0,Commercial
14,2012,FLORIDA-EAST,5505.0,2.0,4704.0,Commercial
15,2012,FLORIDA-WEST,43254.0,20.0,96366.0,Commercial
16,2012,MASSACHUSETTS,31947.0,14.0,44079.0,Commercial
17,2012,NORTH CAROLINA,,,,Commercial
18,2013,MAINE,1987929.0,902.0,5781216.0,Commercial
19,2013,HAWAII,6.0,0.0,75.0,Commercial
20,2013,OREGON,,,,Commercial
21,2013,CALIFORNIA,13966929.0,6335.0,10770609.0,Commercial
22,2013,WASHINGTON,488103.0,221.0,413433.0,Commercial
23,2013,FLORIDA-EAST,13479.0,6.0,35023.0,Commercial
24,2013,FLORIDA-WEST,50811.0,23.0,113830.0,Commercial
25,2013,MASSACHUSETTS,43776.0,20.0,62048.0,Commercial
26,2014,MAINE,1958303.0,888.0,5281916.0,Commercial
27,2014,HAWAII,5.0,0.0,70.0,Commercial
28,2014,OREGON,,,,Commercial
29,2014,CALIFORNIA,12507471.0,5673.0,9697510.0,Commercial
30,2014,WASHINGTON,368172.0,167.0,357730.0,Commercial
31,2014,FLORIDA-EAST,4748.0,2.0,3485.0,Commercial
32,2014,FLORIDA-WEST,64702.0,29.0,111255.0,Commercial
33,2014,MASSACHUSETTS,37210.0,17.0,55496.0,Commercial
34,2014,NORTH CAROLINA,,,,Commercial
35,2015,MAINE,,,,Commercial
36,2015,HAWAII,24.0,0.0,1080.0,Commercial
37,2015,OREGON,,,,Commercial
38,2015,CALIFORNIA,8495724.0,3854.0,7324671.0,Commercial
39,2015,WASHINGTON,718486.0,326.0,730154.0,Commercial
40,2015,FLORIDA-EAST,7400.0,3.0,4238.0,Commercial
41,2015,FLORIDA-WEST,52132.0,24.0,101574.0,Commercial
42,2015,MASSACHUSETTS,49941.0,23.0,243319.0,Commercial
43,2015,NORTH CAROLINA,,,,Commercial
44,2016,MAINE,2058313.0,934.0,6619335.0,Commercial
45,2016,ALASKA,613072.0,278.0,310828.0,Commercial
46,2016,OREGON,,,,Commercial
47,2016,CALIFORNIA,5889201.0,2671.0,7282501.0,Commercial
48,2016,WASHINGTON,749130.0,340.0,1013360.0,Commercial
49,2016,FLORIDA-EAST,7800.0,4.0,4689.0,Commercial
50,2016,FLORIDA-WEST,43463.0,20.0,95889.0,Commercial
51,2016,MASSACHUSETTS,56548.0,26.0,77533.0,Commercial
52,2016,NORTH CAROLINA,431.0,0.0,2232.0,Commercial
53,2017,MAINE,1955877.0,887.0,6118123.0,Commercial
54,2017,ALASKA,291272.0,132.0,163112.0,Commercial
55,2017,OREGON,,,,Commercial
56,2017,CALIFORNIA,4204431.0,1907.0,6435967.0,Commercial
57,2017,WASHINGTON,948428.0,430.0,1550552.0,Commercial
58,2017,FLORIDA-EAST,3471.0,2.0,2090.0,Commercial
59,2017,FLORIDA-WEST,44384.0,20.0,104863.0,Commercial
60,2017,MASSACHUSETTS,,,,Commercial
61,2017,NORTH CAROLINA,,,,Commercial
62,2018,MAINE,2044540.0,927.0,6210784.0,Commercial
63,2018,ALASKA,296282.0,134.0,212730.0,Commercial
64,2018,OREGON,,,,Commercial
65,2018,CALIFORNIA,3244539.0,1472.0,5724034.0,Commercial
66,2018,WASHINGTON,952616.0,432.0,1643043.0,Commercial
67,2018,FLORIDA-EAST,2250.0,1.0,1373.0,Commercial
68,2018,FLORIDA-WEST,40008.0,18.0,73693.0,Commercial
69,2018,MASSACHUSETTS,23984.0,11.0,45958.0,Commercial
70,2018,NORTH CAROLINA,,,,Commercial
71,2019,MAINE,1706781.0,774.0,5835917.0,Commercial
72,2019,ALASKA,255024.0,116.0,184066.0,Commercial
73,2019,OREGON,,,,Commercial
74,2019,CALIFORNIA,2389808.0,1084.0,5162473.0,Commercial
75,2019,WASHINGTON,1118845.0,508.0,2011625.0,Commercial
76,2019,FLORIDA-EAST,608.0,0.0,320.0,Commercial
77,2019,FLORIDA-WEST,39854.0,18.0,116494.0,Commercial
78,2019,MASSACHUSETTS,,,,Commercial
79,2019,NORTH CAROLINA,,,,Commercial
80,2020,MAINE,1281497.0,581.0,3865214.0,Commercial
81,2020,ALASKA,180891.0,82.0,180864.0,Commercial
82,2020,OREGON,,,,Commercial
83,2020,CALIFORNIA,1897296.0,861.0,4698651.0,Commercial
84,2020,WASHINGTON,699746.0,317.0,1280571.0,Commercial
85,2020,FLORIDA-EAST,1617.0,1.0,902.0,Commercial
86,2020,FLORIDA-WEST,40236.0,18.0,65339.0,Commercial
87,2020,MASSACHUSETTS,27501.0,12.0,58382.0,Commercial
88,2020,NORTH CAROLINA,,,,Commercial
